# Twin BBN prediction of the primordial Helium abundance $Y_p$ as
# function of the twin vev ratio and number of extra
# radiation degrees of freedom $\Delta N = N_eff-3.046$. Impact of
# chemical potential of electron neutrinos neglected in this version.
#
# Extracted as a fit to
#
# Format:
# First line must contain (num_ratios,num_DeltaN), other lines must
# contain (ratio,DeltaN,YHe_twin) blank lines and lines starting with #
# neglected

73	105
14.20	0.00250	0.85257
14.40	0.00250	0.85319
14.60	0.00250	0.85379
14.80	0.00250	0.85439
15.00	0.00250	0.85498
0.6000	0.00500	0.84189
0.8000	0.00500	0.78337
1.000	0.00500	0.75853
1.200	0.00500	0.74739
1.400	0.00500	0.74272
1.600	0.00500	0.74140
1.800	0.00500	0.74191
2.000	0.00500	0.74347
2.200	0.00500	0.74562
2.400	0.00500	0.74810
2.600	0.00500	0.75076
2.800	0.00500	0.75349
3.000	0.00500	0.75624
3.200	0.00500	0.75897
3.400	0.00500	0.76165
3.600	0.00500	0.76427
3.800	0.00500	0.76683
4.000	0.00500	0.76930
4.200	0.00500	0.77171
4.400	0.00500	0.77403
4.600	0.00500	0.77629
4.800	0.00500	0.77847
5.000	0.00500	0.78057
5.200	0.00500	0.78261
5.400	0.00500	0.78459
5.600	0.00500	0.78650
5.800	0.00500	0.78835
6.000	0.00500	0.79014
6.200	0.00500	0.79188
6.400	0.00500	0.79356
6.600	0.00500	0.79520
6.800	0.00500	0.79678
7.000	0.00500	0.79832
7.200	0.00500	0.79982
7.400	0.00500	0.80128
7.600	0.00500	0.80269
7.800	0.00500	0.80407
8.000	0.00500	0.80541
8.200	0.00500	0.80672
8.400	0.00500	0.80799
8.600	0.00500	0.80923
8.800	0.00500	0.81044
9.000	0.00500	0.81162
9.200	0.00500	0.81277
9.400	0.00500	0.81390
9.600	0.00500	0.81500
9.800	0.00500	0.81607
10.00	0.00500	0.81712
10.20	0.00500	0.81815
10.40	0.00500	0.81915
10.60	0.00500	0.82013
10.80	0.00500	0.82109
11.00	0.00500	0.82204
11.20	0.00500	0.82296
11.40	0.00500	0.82386
11.60	0.00500	0.82475
11.80	0.00500	0.82562
12.00	0.00500	0.82647
12.20	0.00500	0.82730
12.40	0.00500	0.82812
12.60	0.00500	0.82893
12.80	0.00500	0.82972
13.00	0.00500	0.83049
13.20	0.00500	0.83126
13.40	0.00500	0.83200
13.60	0.00500	0.83274
13.80	0.00500	0.83346
14.00	0.00500	0.83417
14.20	0.00500	0.83487
14.40	0.00500	0.83556
14.60	0.00500	0.83623
14.80	0.00500	0.83690
15.00	0.00500	0.83755
0.6000	0.00750	0.83116
0.8000	0.00750	0.76889
1.000	0.00750	0.74251
1.200	0.00750	0.73069
1.400	0.00750	0.72573
1.600	0.00750	0.72432
1.800	0.00750	0.72486
2.000	0.00750	0.72651
2.200	0.00750	0.72878
2.400	0.00750	0.73140
2.600	0.00750	0.73422
2.800	0.00750	0.73711
3.000	0.00750	0.74002
3.200	0.00750	0.74292
3.400	0.00750	0.74576
3.600	0.00750	0.74854
3.800	0.00750	0.75125
4.000	0.00750	0.75388
4.200	0.00750	0.75643
4.400	0.00750	0.75889
4.600	0.00750	0.76128
4.800	0.00750	0.76360
5.000	0.00750	0.76584
5.200	0.00750	0.76800
5.400	0.00750	0.77010
5.600	0.00750	0.77213
5.800	0.00750	0.77409
6.000	0.00750	0.77600
6.200	0.00750	0.77784
6.400	0.00750	0.77963
6.600	0.00750	0.78137
6.800	0.00750	0.78306
7.000	0.00750	0.78469
7.200	0.00750	0.78629
7.400	0.00750	0.78783
7.600	0.00750	0.78934
7.800	0.00750	0.79080
8.000	0.00750	0.79223
8.200	0.00750	0.79362
8.400	0.00750	0.79497
8.600	0.00750	0.79629
8.800	0.00750	0.79758
9.000	0.00750	0.79883
9.200	0.00750	0.80006
9.400	0.00750	0.80126
9.600	0.00750	0.80243
9.800	0.00750	0.80357
10.00	0.00750	0.80469
10.20	0.00750	0.80578
10.40	0.00750	0.80685
10.60	0.00750	0.80789
10.80	0.00750	0.80892
11.00	0.00750	0.80992
11.20	0.00750	0.81090
11.40	0.00750	0.81186
11.60	0.00750	0.81281
11.80	0.00750	0.81373
12.00	0.00750	0.81464
12.20	0.00750	0.81553
12.40	0.00750	0.81640
12.60	0.00750	0.81726
12.80	0.00750	0.81810
13.00	0.00750	0.81892
13.20	0.00750	0.81973
13.40	0.00750	0.82053
13.60	0.00750	0.82131
13.80	0.00750	0.82208
14.00	0.00750	0.82284
14.20	0.00750	0.82358
14.40	0.00750	0.82432
14.60	0.00750	0.82504
14.80	0.00750	0.82574
15.00	0.00750	0.82644
0.6000	0.0100	0.82313
0.8000	0.0100	0.75808
1.000	0.0100	0.73057
1.200	0.0100	0.71825
1.400	0.0100	0.71308
1.600	0.0100	0.71161
1.800	0.0100	0.71217
2.000	0.0100	0.71387
2.200	0.0100	0.71623
2.400	0.0100	0.71897
2.600	0.0100	0.72189
2.800	0.0100	0.72490
3.000	0.0100	0.72794
3.200	0.0100	0.73095
3.400	0.0100	0.73391
3.600	0.0100	0.73680
3.800	0.0100	0.73962
4.000	0.0100	0.74236
4.200	0.0100	0.74502
4.400	0.0100	0.74760
4.600	0.0100	0.75009
4.800	0.0100	0.75250
5.000	0.0100	0.75483
5.200	0.0100	0.75709
5.400	0.0100	0.75928
5.600	0.0100	0.76139
5.800	0.0100	0.76344
6.000	0.0100	0.76543
6.200	0.0100	0.76736
6.400	0.0100	0.76922
6.600	0.0100	0.77104
6.800	0.0100	0.77280
7.000	0.0100	0.77451
7.200	0.0100	0.77617
7.400	0.0100	0.77778
7.600	0.0100	0.77936
7.800	0.0100	0.78088
8.000	0.0100	0.78237
8.200	0.0100	0.78382
8.400	0.0100	0.78524
8.600	0.0100	0.78662
8.800	0.0100	0.78796
9.000	0.0100	0.78927
9.200	0.0100	0.79055
9.400	0.0100	0.79180
9.600	0.0100	0.79302
9.800	0.0100	0.79422
10.00	0.0100	0.79538
10.20	0.0100	0.79653
10.40	0.0100	0.79764
10.60	0.0100	0.79873
10.80	0.0100	0.79980
11.00	0.0100	0.80085
11.20	0.0100	0.80188
11.40	0.0100	0.80288
11.60	0.0100	0.80387
11.80	0.0100	0.80484
12.00	0.0100	0.80578
12.20	0.0100	0.80671
12.40	0.0100	0.80763
12.60	0.0100	0.80852
12.80	0.0100	0.80940
13.00	0.0100	0.81026
13.20	0.0100	0.81111
13.40	0.0100	0.81194
13.60	0.0100	0.81276
13.80	0.0100	0.81357
14.00	0.0100	0.81436
14.20	0.0100	0.81514
14.40	0.0100	0.81590
14.60	0.0100	0.81665
14.80	0.0100	0.81739
15.00	0.0100	0.81812
0.6000	0.0200	0.80231
0.8000	0.0200	0.73016
1.000	0.0200	0.69979
1.200	0.0200	0.68621
1.400	0.0200	0.68051
1.600	0.0200	0.67887
1.800	0.0200	0.67947
2.000	0.0200	0.68133
2.200	0.0200	0.68391
2.400	0.0200	0.68690
2.600	0.0200	0.69011
2.800	0.0200	0.69342
3.000	0.0200	0.69675
3.200	0.0200	0.70006
3.400	0.0200	0.70332
3.600	0.0200	0.70650
3.800	0.0200	0.70961
4.000	0.0200	0.71262
4.200	0.0200	0.71555
4.400	0.0200	0.71839
4.600	0.0200	0.72113
4.800	0.0200	0.72379
5.000	0.0200	0.72637
5.200	0.0200	0.72886
5.400	0.0200	0.73128
5.600	0.0200	0.73361
5.800	0.0200	0.73588
6.000	0.0200	0.73807
6.200	0.0200	0.74020
6.400	0.0200	0.74227
6.600	0.0200	0.74427
6.800	0.0200	0.74622
7.000	0.0200	0.74811
7.200	0.0200	0.74995
7.400	0.0200	0.75174
7.600	0.0200	0.75348
7.800	0.0200	0.75517
8.000	0.0200	0.75682
8.200	0.0200	0.75843
8.400	0.0200	0.75999
8.600	0.0200	0.76152
8.800	0.0200	0.76301
9.000	0.0200	0.76446
9.200	0.0200	0.76588
9.400	0.0200	0.76727
9.600	0.0200	0.76862
9.800	0.0200	0.76995
10.00	0.0200	0.77124
10.20	0.0200	0.77251
10.40	0.0200	0.77375
10.60	0.0200	0.77496
10.80	0.0200	0.77615
11.00	0.0200	0.77731
11.20	0.0200	0.77845
11.40	0.0200	0.77957
11.60	0.0200	0.78066
11.80	0.0200	0.78173
12.00	0.0200	0.78279
12.20	0.0200	0.78382
12.40	0.0200	0.78483
12.60	0.0200	0.78583
12.80	0.0200	0.78680
13.00	0.0200	0.78776
13.20	0.0200	0.78870
13.40	0.0200	0.78963
13.60	0.0200	0.79054
13.80	0.0200	0.79143
14.00	0.0200	0.79231
14.20	0.0200	0.79318
14.40	0.0200	0.79403
14.60	0.0200	0.79486
14.80	0.0200	0.79569
15.00	0.0200	0.79650
0.6000	0.0300	0.78909
0.8000	0.0300	0.71254
1.000	0.0300	0.68042
1.200	0.0300	0.66607
1.400	0.0300	0.66004
1.600	0.0300	0.65831
1.800	0.0300	0.65892
2.000	0.0300	0.66088
2.200	0.0300	0.66359
2.400	0.0300	0.66674
2.600	0.0300	0.67012
2.800	0.0300	0.67360
3.000	0.0300	0.67711
3.200	0.0300	0.68060
3.400	0.0300	0.68404
3.600	0.0300	0.68740
3.800	0.0300	0.69067
4.000	0.0300	0.69386
4.200	0.0300	0.69695
4.400	0.0300	0.69995
4.600	0.0300	0.70285
4.800	0.0300	0.70566
5.000	0.0300	0.70839
5.200	0.0300	0.71102
5.400	0.0300	0.71358
5.600	0.0300	0.71605
5.800	0.0300	0.71845
6.000	0.0300	0.72077
6.200	0.0300	0.72302
6.400	0.0300	0.72521
6.600	0.0300	0.72733
6.800	0.0300	0.72940
7.000	0.0300	0.73140
7.200	0.0300	0.73335
7.400	0.0300	0.73524
7.600	0.0300	0.73709
7.800	0.0300	0.73888
8.000	0.0300	0.74063
8.200	0.0300	0.74233
8.400	0.0300	0.74399
8.600	0.0300	0.74561
8.800	0.0300	0.74719
9.000	0.0300	0.74873
9.200	0.0300	0.75024
9.400	0.0300	0.75171
9.600	0.0300	0.75315
9.800	0.0300	0.75455
10.00	0.0300	0.75593
10.20	0.0300	0.75727
10.40	0.0300	0.75858
10.60	0.0300	0.75987
10.80	0.0300	0.76113
11.00	0.0300	0.76237
11.20	0.0300	0.76358
11.40	0.0300	0.76476
11.60	0.0300	0.76592
11.80	0.0300	0.76706
12.00	0.0300	0.76818
12.20	0.0300	0.76928
12.40	0.0300	0.77035
12.60	0.0300	0.77141
12.80	0.0300	0.77245
13.00	0.0300	0.77347
13.20	0.0300	0.77447
13.40	0.0300	0.77545
13.60	0.0300	0.77642
13.80	0.0300	0.77737
14.00	0.0300	0.77830
14.20	0.0300	0.77922
14.40	0.0300	0.78012
14.60	0.0300	0.78101
14.80	0.0300	0.78189
15.00	0.0300	0.78275
0.6000	0.0400	0.77923
0.8000	0.0400	0.69944
1.000	0.0400	0.66604
1.200	0.0400	0.65114
1.400	0.0400	0.64488
1.600	0.0400	0.64307
1.800	0.0400	0.64370
2.000	0.0400	0.64572
2.200	0.0400	0.64853
2.400	0.0400	0.65179
2.600	0.0400	0.65529
2.800	0.0400	0.65890
3.000	0.0400	0.66254
3.200	0.0400	0.66615
3.400	0.0400	0.66972
3.600	0.0400	0.67321
3.800	0.0400	0.67661
4.000	0.0400	0.67992
4.200	0.0400	0.68313
4.400	0.0400	0.68624
4.600	0.0400	0.68926
4.800	0.0400	0.69218
5.000	0.0400	0.69501
5.200	0.0400	0.69775
5.400	0.0400	0.70040
5.600	0.0400	0.70298
5.800	0.0400	0.70547
6.000	0.0400	0.70789
6.200	0.0400	0.71023
6.400	0.0400	0.71251
6.600	0.0400	0.71472
6.800	0.0400	0.71686
7.000	0.0400	0.71895
7.200	0.0400	0.72098
7.400	0.0400	0.72295
7.600	0.0400	0.72487
7.800	0.0400	0.72674
8.000	0.0400	0.72856
8.200	0.0400	0.73033
8.400	0.0400	0.73206
8.600	0.0400	0.73375
8.800	0.0400	0.73539
9.000	0.0400	0.73700
9.200	0.0400	0.73857
9.400	0.0400	0.74010
9.600	0.0400	0.74160
9.800	0.0400	0.74307
10.00	0.0400	0.74450
10.20	0.0400	0.74590
10.40	0.0400	0.74727
